index,Hard,Soft,Pro_Brexit,Remain,Anti_Hard,Anti_Soft,Ambiguous,Intensity,tweet_id
153,0,0,0,0,0,0,1,2,9.16E+17
154,0,0,0,0,1,0,0,3,9.08E+17
155,0,0,0,0,0,0,1,2,9.16E+17
156,0,0,0,0,1,0,0,2,9.18E+17
157,0,0,0,0,0,0,1,3,9.20E+17
158,0,0,0,1,0,0,0,3,9.23E+17
159,1,0,1,0,0,0,0,4,9.13E+17
160,0,0,0,1,0,0,0,4,9.27E+17
161,1,0,1,0,0,0,0,3,9.09E+17
162,0,0,0,0,1,0,0,2,9.13E+17
163,1,0,1,0,0,0,0,2,9.17E+17
164,1,0,1,0,0,0,0,3,9.19E+17
165,0,0,0,1,0,0,0,3,9.10E+17
166,0,0,0,0,0,0,1,2,9.15E+17
167,0,0,0,0,1,0,0,5,9.13E+17
168,0,0,0,0,0,0,1,3,9.18E+17
169,0,0,0,1,0,0,0,5,9.19E+17
170,0,0,0,0,0,0,1,2,9.23E+17
171,0,0,0,0,1,0,0,4,9.15E+17
172,0,0,0,0,1,0,0,3,9.18E+17
173,1,0,1,0,0,0,0,3,9.17E+17
174,0,0,0,0,1,0,0,2,9.18E+17
175,0,1,0,0,0,0,0,2,9.08E+17
176,0,0,0,0,0,0,1,2,9.16E+17
177,0,0,0,0,0,0,1,3,9.19E+17
178,1,0,1,0,0,0,0,3,9.21E+17
179,0,0,0,0,0,0,1,2,9.10E+17
180,0,0,0,0,0,0,1,3,9.14E+17
181,0,0,0,0,0,0,1,4,9.09E+17
182,0,0,0,1,1,0,0,3,9.10E+17
183,0,0,0,0,1,0,0,3,9.20E+17
184,1,0,1,0,0,1,0,3,9.23E+17
185,0,0,0,1,0,0,0,2,9.09E+17
186,0,0,0,1,0,0,0,3,9.14E+17
187,0,0,0,0,0,0,1,3,9.16E+17
188,0,0,0,0,0,0,1,3,9.19E+17
189,0,0,0,0,1,0,0,4,9.23E+17
190,0,0,0,0,0,0,1,3,9.26E+17
191,0,0,0,0,1,0,0,4,9.25E+17
192,0,0,0,0,1,0,0,4,9.12E+17
193,0,0,0,0,1,0,0,5,9.18E+17
194,0,0,0,0,0,0,1,3,9.16E+17
195,1,0,1,0,0,0,0,4,9.10E+17
196,0,0,0,0,0,0,1,4,9.18E+17
197,0,0,0,0,0,0,1,3,9.11E+17
198,0,0,0,0,0,0,1,3,9.10E+17
199,0,0,0,0,0,0,1,3,9.17E+17
200,1,0,1,0,0,1,0,5,9.11E+17
201,0,0,0,0,0,0,1,3,9.17E+17
202,0,0,0,0,0,0,1,3,9.14E+17
203,0,0,0,0,0,0,1,3,9.12E+17
204,0,0,0,0,1,0,0,4,9.13E+17
205,1,0,1,0,0,1,0,5,9.10E+17
206,0,0,0,0,1,0,0,5,9.17E+17
207,0,0,0,0,0,0,1,1,9.16E+17
208,0,0,0,0,0,0,1,3,9.16E+17
209,0,0,0,0,0,0,1,2,9.17E+17
210,0,0,0,0,1,0,0,3,9.10E+17
211,0,0,0,0,0,0,1,4,9.10E+17
212,1,0,1,0,0,0,0,4,9.14E+17
213,0,0,0,0,0,0,1,4,9.11E+17
214,0,0,0,0,0,0,1,5,9.11E+17
215,0,0,0,0,0,0,1,3,9.12E+17
216,0,0,0,0,0,0,1,5,9.11E+17
217,0,0,0,0,0,0,1,4,9.17E+17
218,0,0,0,1,0,0,0,4,9.13E+17
219,1,0,1,0,0,0,0,5,9.11E+17
220,0,0,0,0,0,0,1,2,9.16E+17
221,0,0,0,0,0,0,1,3,9.17E+17
222,0,0,0,0,0,0,1,2,9.16E+17
223,0,0,0,0,0,0,1,3,9.20E+17
224,0,0,0,0,0,0,1,2,9.16E+17
225,0,0,0,0,1,0,0,2,9.13E+17
226,0,0,0,0,0,0,1,2,9.12E+17
227,0,0,0,0,0,0,1,2,9.09E+17
228,0,0,0,0,0,0,1,3,9.18E+17
229,0,0,0,0,1,0,0,2,9.09E+17
230,0,0,0,0,0,0,1,2,9.21E+17
231,0,0,0,0,0,0,1,2,9.16E+17
232,0,0,0,0,0,0,1,2,9.10E+17
233,1,0,1,0,0,0,0,2,9.17E+17
234,0,0,0,0,1,0,0,2,9.13E+17
235,0,0,0,0,0,0,1,2,9.20E+17
236,0,0,0,0,0,0,1,3,9.19E+17
237,0,0,0,0,0,0,1,3,9.26E+17
238,0,0,0,0,0,0,1,2,9.16E+17
239,0,0,0,0,0,0,1,3,9.13E+17
240,0,0,0,0,0,0,1,2,9.16E+17
241,0,0,0,0,0,0,1,2,9.20E+17
242,0,0,0,0,0,0,1,3,9.09E+17
243,1,0,1,0,0,0,0,4,9.14E+17
244,0,0,0,0,0,0,1,2,9.20E+17
245,0,0,0,0,1,0,0,4,9.24E+17
246,0,0,0,0,0,0,1,5,9.11E+17
247,0,0,0,0,0,0,1,3,9.15E+17
248,0,0,0,0,0,0,1,4,9.22E+17
249,0,0,0,0,0,0,1,3,9.20E+17
250,1,0,1,0,0,0,0,3,9.14E+17
251,1,0,1,0,0,0,0,1,9.12E+17
252,0,0,0,0,0,0,1,3,9.16E+17
253,1,0,1,0,0,1,0,4,9.14E+17
254,1,0,1,0,0,0,0,3,9.12E+17
255,1,0,1,0,0,0,0,3,9.21E+17
256,0,1,0,0,0,0,0,2,9.11E+17
257,0,0,0,0,1,0,0,2,9.18E+17
258,0,0,0,0,0,0,1,2,9.12E+17
259,0,0,0,0,0,0,1,2,9.11E+17
260,1,0,1,0,0,0,0,1,9.12E+17
261,0,0,0,0,0,0,1,1,9.20E+17
262,0,0,0,0,0,0,1,2,9.13E+17
263,0,0,0,0,0,0,1,3,9.14E+17
264,1,0,1,0,0,0,0,3,9.24E+17
265,0,0,0,0,0,0,1,3,9.09E+17
266,0,0,0,1,1,0,0,4,9.11E+17
267,0,0,0,0,0,0,1,3,9.13E+17
268,1,0,1,0,0,0,0,2,9.14E+17
269,1,0,1,0,0,0,0,2,9.20E+17
270,0,0,0,0,0,0,1,3,9.14E+17
271,0,0,0,1,0,0,0,3,9.10E+17
272,0,0,0,1,0,0,0,3,9.17E+17
273,0,0,0,0,0,0,1,2,9.12E+17
274,0,0,0,0,1,0,0,2,9.10E+17
275,0,0,0,0,0,0,1,2,9.18E+17
276,0,0,0,0,0,0,1,4,9.12E+17
277,0,0,0,0,0,0,1,4,9.14E+17
278,0,0,0,0,1,0,0,4,9.16E+17
279,0,0,0,1,0,0,0,5,9.18E+17
280,0,0,0,0,1,0,0,3,9.23E+17
281,0,0,0,0,1,0,0,4,9.15E+17
282,0,0,0,0,1,0,0,3,9.09E+17
283,0,0,0,0,0,0,1,3,9.21E+17
284,0,1,0,0,1,0,0,2,9.08E+17
285,1,0,1,0,0,0,0,3,9.14E+17
286,0,0,0,0,0,0,1,3,9.27E+17
287,1,0,1,0,0,1,0,4,9.10E+17
288,0,0,0,0,0,0,1,3,9.13E+17
289,1,0,0,0,0,0,0,2,9.11E+17
290,0,0,0,0,0,0,1,2,9.18E+17
291,1,0,1,0,0,0,0,3,9.26E+17
292,1,0,1,0,0,0,0,1,9.11E+17
293,0,0,0,1,0,0,0,4,9.18E+17
294,0,0,0,0,0,0,1,2,9.21E+17
295,0,0,0,0,0,0,1,2,9.12E+17
296,0,0,0,0,1,0,0,2,9.16E+17
297,0,0,0,0,0,0,1,2,9.08E+17
298,0,0,0,1,0,0,0,3,9.15E+17
299,0,0,0,0,1,0,0,4,9.16E+17
300,0,0,0,0,0,0,1,2,9.12E+17
301,0,0,0,0,1,0,0,3,9.18E+17
302,0,0,0,0,0,0,1,2,9.14E+17
303,0,0,0,0,0,0,1,2,9.20E+17
304,0,0,0,0,0,0,1,2,9.18E+17
305,0,0,0,0,0,0,1,3,9.23E+17
306,0,0,0,0,0,0,1,2,9.18E+17
307,0,0,0,0,1,0,0,4,9.08E+17
308,0,0,0,1,0,0,0,4,9.09E+17
309,1,0,1,0,0,0,0,2,9.20E+17
310,0,0,0,0,0,0,1,2,9.16E+17
311,0,0,0,1,0,0,0,5,9.19E+17
312,0,0,0,0,1,0,0,2,9.10E+17
313,1,0,1,0,0,0,0,2,9.16E+17
314,0,0,0,0,0,0,1,4,9.13E+17
315,0,0,0,1,1,0,0,3,9.09E+17
316,0,0,0,1,0,0,0,1,9.20E+17
317,0,0,0,0,1,0,0,2,9.20E+17
318,1,0,1,0,0,1,0,4,9.21E+17
319,0,0,0,0,1,0,0,3,9.23E+17
320,0,0,0,0,1,0,0,2,9.23E+17
321,0,0,0,1,1,0,0,3,9.21E+17
322,0,0,0,0,1,0,0,2,9.20E+17
323,0,0,0,0,0,0,1,3,9.26E+17
324,1,0,1,0,0,0,0,3,9.18E+17
325,0,0,0,0,0,0,1,2,9.11E+17
326,1,0,1,0,0,1,0,2,9.17E+17
327,0,1,0,0,1,0,0,2,9.08E+17
328,0,0,0,0,0,0,1,1,9.27E+17
329,0,0,0,0,0,0,1,2,9.20E+17
330,1,0,1,0,0,0,0,2,9.19E+17
331,0,0,0,0,0,0,1,2,9.15E+17
332,1,0,1,0,0,1,0,4,9.15E+17
333,0,1,0,0,0,0,0,3,9.17E+17
334,0,0,0,1,1,0,0,4,9.22E+17
335,0,0,0,0,0,0,1,2,9.18E+17
336,1,0,1,0,0,1,0,4,9.17E+17
337,0,0,0,0,0,0,1,2,9.11E+17
338,0,0,0,1,1,1,0,2,9.10E+17
339,1,0,1,0,0,1,0,2,9.11E+17
340,0,0,0,1,1,1,0,1,9.27E+17
341,0,0,0,0,0,0,1,4,9.19E+17
342,0,1,0,0,1,0,0,2,9.19E+17
343,0,1,0,0,1,0,0,2,9.11E+17
344,0,0,0,0,0,0,1,1,9.11E+17
345,0,0,0,0,0,0,1,2,9.16E+17
346,0,0,0,0,0,1,1,3,9.21E+17
347,0,0,0,0,0,0,1,3,9.15E+17
348,0,0,0,0,0,0,1,3,9.24E+17
349,0,0,0,1,1,0,0,4,9.22E+17
350,0,0,0,1,1,1,0,4,9.19E+17
351,0,1,0,0,0,0,0,2,9.25E+17
352,0,0,0,0,0,0,1,2,9.09E+17
353,0,0,0,0,0,0,1,1,9.22E+17
354,0,1,0,0,1,0,0,3,9.25E+17
355,0,1,0,0,0,0,0,3,9.16E+17
356,0,0,0,1,1,1,0,4,9.19E+17
357,0,0,0,0,0,0,1,3,9.23E+17
358,0,0,0,0,0,0,1,3,9.18E+17
359,0,0,0,1,1,1,0,3,9.10E+17
360,0,1,0,0,1,0,0,3,9.20E+17
361,0,0,0,0,0,0,1,3,9.09E+17
362,0,0,0,0,0,0,1,4,9.23E+17
363,0,0,0,0,0,0,1,2,9.18E+17
364,0,0,0,0,0,0,1,2,9.14E+17
365,0,0,0,1,0,0,0,4,9.20E+17
366,0,0,0,1,1,1,0,4,9.15E+17
367,1,0,1,0,0,1,0,4,9.11E+17
368,1,0,1,0,0,1,0,4,9.14E+17
369,0,0,0,0,0,0,1,3,9.10E+17
370,0,1,0,0,1,0,0,1,9.09E+17
371,0,0,0,0,0,0,1,2,9.19E+17
372,0,0,0,0,0,0,1,4,9.18E+17
373,0,0,0,0,0,0,1,2,9.15E+17
374,0,0,0,0,0,0,1,2,9.24E+17
375,0,0,0,1,1,1,0,3,9.18E+17
376,0,0,0,1,0,0,0,2,9.24E+17
377,0,0,0,0,0,0,1,2,9.20E+17
378,0,0,0,0,0,0,1,3,9.10E+17
379,0,0,0,0,0,0,1,3,9.10E+17
380,0,1,0,0,1,0,0,5,9.27E+17
381,0,1,0,0,1,0,0,2,9.11E+17
382,0,0,0,1,1,1,0,4,9.23E+17
383,0,0,0,1,0,0,0,4,9.23E+17
384,0,0,0,0,0,0,1,1,9.19E+17
385,0,1,0,0,0,0,0,2,9.27E+17
386,0,1,0,0,1,0,0,3,9.16E+17
387,0,0,0,0,0,0,1,4,9.24E+17
388,0,0,0,0,0,0,1,3,9.23E+17
389,1,0,1,0,0,0,0,3,9.14E+17
390,0,0,0,0,0,0,1,2,9.12E+17
391,0,0,0,0,0,1,0,3,9.10E+17
392,0,1,0,0,1,0,0,2,9.20E+17
393,0,0,0,0,0,0,1,1,9.20E+17
394,0,0,0,0,0,0,1,3,9.22E+17
395,0,1,0,0,1,0,0,2,9.10E+17
396,0,0,0,0,0,0,1,2,9.09E+17
397,1,0,1,0,0,1,0,4,9.15E+17
398,0,0,0,0,0,0,1,3,9.18E+17
399,0,0,0,0,0,0,1,3,9.22E+17
400,0,0,0,0,0,0,1,2,9.09E+17
401,0,0,0,0,0,0,1,2,9.10E+17
402,1,0,1,0,0,1,0,2,9.16E+17
403,0,0,0,0,0,0,1,3,9.23E+17
404,0,0,0,0,0,0,1,2,9.10E+17
405,0,1,0,0,0,0,0,2,9.17E+17
406,0,0,0,0,0,0,1,2,9.11E+17
407,1,0,1,0,0,0,0,4,9.14E+17
408,0,0,0,0,0,0,1,2,9.17E+17
409,1,0,1,0,0,1,0,2,9.20E+17
410,0,0,0,0,0,0,1,5,9.25E+17
411,0,0,0,1,0,0,0,3,9.23E+17
412,0,0,0,0,0,0,1,3,9.17E+17
413,1,0,1,0,0,0,0,3,9.11E+17
414,0,0,0,1,1,1,0,5,9.15E+17
415,0,0,0,0,0,0,1,3,9.14E+17
416,0,0,0,0,0,0,1,5,9.20E+17
417,0,0,0,1,0,0,0,4,9.23E+17
418,0,0,0,0,0,0,1,3,9.22E+17
419,0,1,0,0,0,0,0,1,9.23E+17
420,0,0,0,0,0,0,1,2,9.09E+17
421,0,0,0,0,0,0,1,3,9.26E+17
422,0,1,0,0,0,0,0,2,9.11E+17
423,0,1,0,0,0,0,0,3,9.11E+17
424,0,0,0,0,0,0,1,4,9.11E+17
425,0,0,0,0,0,0,1,2,9.21E+17
426,0,1,0,0,1,0,0,3,9.19E+17
427,0,1,0,0,1,0,0,2,9.17E+17
428,0,0,0,0,0,0,1,2,9.11E+17
429,0,0,0,0,0,0,1,2,9.09E+17
430,0,1,0,0,0,0,0,1,9.09E+17
431,0,0,0,0,0,0,1,2,9.12E+17
432,0,1,0,0,1,0,0,4,9.27E+17
433,0,0,0,0,0,0,1,1,9.15E+17
434,0,0,0,0,0,0,1,3,9.11E+17
435,0,0,0,0,0,0,1,2,9.09E+17
436,0,0,0,1,0,0,0,4,9.23E+17
437,0,0,0,0,0,0,1,4,9.21E+17
438,0,0,0,0,0,0,1,2,9.23E+17
439,0,0,0,0,0,0,1,3,9.20E+17
440,0,1,1,0,0,0,0,2,9.15E+17
441,0,1,1,0,0,0,0,2,9.15E+17
442,0,1,0,0,0,0,0,3,9.10E+17
443,1,0,1,0,0,1,0,4,9.15E+17
444,0,0,0,0,0,0,1,3,9.23E+17
445,0,0,0,0,0,0,1,2,9.13E+17
446,1,0,1,0,0,1,0,4,9.21E+17
447,0,0,0,0,0,0,1,2,9.20E+17
448,0,0,0,1,1,1,0,5,9.15E+17
449,0,0,0,0,0,0,1,2,9.09E+17
450,0,0,0,0,0,0,1,2,9.23E+17
451,0,1,0,0,0,0,0,2,9.15E+17
452,0,0,0,0,0,0,1,4,9.20E+17
453,0,0,0,0,0,0,1,3,9.24E+17
454,0,0,0,0,0,0,1,2,9.14E+17
455,1,0,1,0,0,0,0,2,9.18E+17
456,1,0,1,0,0,1,0,5,9.25E+17
457,1,0,0,0,0,1,0,3,9.15E+17
458,0,1,0,0,1,0,0,2,9.13E+17
459,0,0,0,0,0,0,1,2,9.09E+17
460,0,0,0,1,0,0,0,2,9.18E+17
461,0,0,0,0,0,0,1,3,9.09E+17
462,1,0,1,0,0,1,0,5,9.22E+17
463,0,0,0,0,0,0,1,2,9.21E+17
464,0,0,0,0,0,0,1,2,9.20E+17
465,1,0,1,0,0,1,0,5,9.09E+17
466,0,0,0,1,0,0,0,3,9.23E+17
467,0,0,0,0,0,0,1,3,9.24E+17
468,0,0,0,1,0,0,0,1,9.17E+17
469,0,0,0,0,0,0,1,1,9.11E+17
470,1,0,1,0,0,0,0,5,9.16E+17
471,0,1,0,0,1,0,0,3,9.17E+17
472,0,0,0,1,0,1,0,2,9.10E+17
473,0,0,0,0,0,0,1,2,9.09E+17
474,0,1,0,0,0,0,0,1,9.18E+17
475,0,0,0,0,0,0,1,2,9.19E+17
476,0,0,0,0,0,0,1,3,9.22E+17
477,0,0,0,1,1,1,0,5,9.20E+17
478,0,0,0,0,0,0,1,2,9.26E+17
479,0,0,0,0,0,0,1,1,9.11E+17
480,0,0,0,0,0,0,1,2,9.09E+17
481,0,1,0,0,0,0,0,4,9.11E+17
482,0,0,0,0,0,0,1,3,9.22E+17
483,0,0,0,0,0,0,1,2,9.25E+17
484,0,0,0,0,0,0,1,1,9.19E+17
485,1,0,1,0,0,0,0,3,9.20E+17
486,0,1,0,0,0,0,0,3,9.11E+17
487,0,0,0,0,0,0,1,2,9.20E+17
488,0,0,0,0,0,0,1,3,9.11E+17
489,1,0,1,0,0,1,0,3,9.16E+17
490,0,1,0,0,0,0,0,2,9.11E+17
491,1,0,1,0,0,1,0,2,9.11E+17
492,0,0,0,0,0,0,1,1,9.25E+17
493,1,0,1,0,0,0,0,2,9.19E+17
494,1,0,1,0,0,1,0,2,9.22E+17
495,0,0,0,0,0,0,1,4,9.12E+17
496,1,0,1,0,0,1,0,4,9.19E+17
497,0,0,0,0,0,0,1,2,9.18E+17
498,0,0,0,0,0,0,1,3,9.11E+17
499,0,0,0,0,0,0,1,2,9.09E+17
500,0,0,0,0,0,0,1,2,9.16E+17
501,0,0,0,1,0,0,0,3,9.11E+17
502,1,0,1,0,0,1,0,4,9.25E+17
503,0,0,0,1,1,1,0,3,9.09E+17
504,0,0,0,0,0,0,1,2,9.22E+17
505,0,0,0,0,0,0,1,4,9.18E+17
506,0,0,0,0,0,0,1,3,9.15E+17
507,0,0,0,1,1,1,0,4,9.25E+17
508,0,0,0,1,1,1,0,5,9.22E+17
509,0,0,0,0,0,0,1,2,9.13E+17
510,1,0,1,0,0,1,0,2,9.11E+17
511,1,0,1,0,0,1,0,5,9.11E+17
512,0,1,0,0,0,0,0,2,9.15E+17
513,1,0,1,0,0,1,1,4,9.10E+17
514,1,0,1,0,0,0,0,1,9.11E+17
515,1,0,0,0,0,1,0,4,9.24E+17
516,0,1,0,0,1,0,0,2,9.18E+17
517,1,0,1,0,0,1,0,3,9.12E+17
518,0,0,0,0,0,0,1,2,9.08E+17
519,0,0,0,0,0,0,1,2,9.18E+17
520,0,1,0,0,1,0,0,3,9.11E+17
521,0,0,0,0,0,0,1,2,9.09E+17
522,0,0,0,1,0,0,0,4,9.24E+17
523,0,0,0,0,0,0,1,3,9.24E+17
524,0,1,0,0,0,0,0,2,9.11E+17
525,1,0,1,0,0,1,0,3,9.20E+17
526,0,0,0,0,0,0,1,2,9.21E+17
527,1,0,0,0,0,0,0,2,9.22E+17
528,0,0,0,1,1,1,0,4,9.13E+17
529,0,1,0,0,0,0,0,2,9.16E+17
530,0,0,0,1,0,0,0,2,9.09E+17
531,0,0,0,0,0,0,1,2,9.09E+17
532,1,0,1,0,0,1,0,3,9.24E+17
533,0,0,0,0,0,0,1,3,9.23E+17
534,0,1,0,0,0,0,0,2,9.16E+17
535,0,0,0,0,0,0,1,4,9.10E+17
536,0,0,0,0,0,0,1,4,9.13E+17
537,0,1,0,0,1,0,0,4,9.15E+17
538,0,0,0,0,0,0,1,1,9.11E+17
539,1,0,0,0,0,0,0,4,9.10E+17
540,0,0,0,0,0,0,1,2,9.11E+17
541,0,0,0,0,0,0,1,2,9.20E+17
542,0,0,0,0,0,0,1,1,9.21E+17
543,0,0,0,0,0,0,1,2,9.24E+17
544,0,0,0,0,0,0,1,2,9.19E+17
545,0,1,0,0,0,0,0,3,9.26E+17
546,0,1,0,0,0,0,0,1,9.09E+17
547,1,0,1,0,0,1,0,2,9.19E+17
548,0,0,0,0,0,0,1,3,9.21E+17
549,0,0,0,0,0,0,1,2,9.11E+17
550,0,0,0,0,0,0,1,4,9.17E+17
551,0,0,0,0,0,0,1,2,9.21E+17
552,1,0,1,0,0,0,0,3,9.11E+17
553,1,0,1,0,0,1,0,5,9.09E+17
554,0,0,0,0,0,0,1,1,9.09E+17
555,1,0,1,0,0,1,0,4,9.11E+17
